TRCHILDNUM,Caring for HH children,Housework,Grocery shopping
0,0,0,0
2,60,0,0
0,0,15,60
2,5,0,0
2,120,0,0
1,245,55,0
1,50,0,0
1,0,0,0
3,0,200,0
4,50,10,0
1,0,0,0
1,60,10,0
1,7,135,0
1,0,0,0
1,60,0,0
2,105,60,0
0,0,0,0
0,0,0,0
0,0,95,0
4,0,0,0
0,0,0,0
2,353,180,0
0,0,0,10
3,270,0,10
1,51,0,0
0,0,0,0
0,0,15,75
0,0,0,0
1,235,0,0
0,0,15,15
0,0,0,0
2,0,0,0
1,120,0,0
0,0,0,0
0,0,0,0
0,0,0,0
1,0,0,0
0,0,0,0
2,51,25,0
0,0,120,0
0,0,0,0
0,0,0,0
1,30,0,20
0,0,105,90
0,0,0,0
2,0,0,0
0,0,0,20
3,176,0,0
0,0,94,0
3,0,0,0
0,0,30,0
3,70,140,0
0,0,0,0
0,0,5,0
1,0,0,0
0,0,0,15
2,52,0,10
0,0,34,0
2,115,0,0
1,410,0,30
1,25,55,0
1,0,690,0
0,0,180,0
2,60,0,0
0,0,0,0
0,0,60,0
2,165,90,0
0,0,0,0
2,0,120,30
1,150,15,0
0,0,120,0
3,90,152,0
0,0,0,0
2,90,88,0
0,0,0,0
0,0,0,0
2,0,90,90
0,0,15,0
2,15,0,0
2,0,0,0
2,15,0,0
0,0,0,0
0,0,10,30
0,0,0,0
0,0,334,45
3,0,0,0
0,0,0,0
2,323,30,20
0,0,30,0
0,0,0,0
0,0,0,0
0,0,30,0
1,60,30,0
0,0,0,0
2,70,140,0
1,0,0,0
2,63,15,0
0,0,73,0
1,0,0,0
1,0,0,0
0,0,0,0
1,55,15,0
2,90,10,0
0,0,0,0
0,0,0,0
1,0,0,0
5,265,140,0
0,0,120,60
0,0,80,60
2,150,135,60
2,15,89,25
0,0,30,0
0,0,3,45
0,0,180,0
2,0,0,0
0,0,0,0
1,5,0,0
1,35,55,0
0,0,10,30
0,0,40,60
3,0,0,0
3,0,0,0
0,0,250,0
0,0,60,15
3,341,30,0
0,0,0,0
0,0,80,0
1,5,0,0
1,2,0,0
4,191,0,0
6,95,120,0
0,0,0,0
3,60,60,0
0,0,20,0
2,97,5,60
0,0,0,0
0,0,7,45
3,31,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,45,0
0,0,0,0
0,0,70,20
0,0,15,30
1,15,15,0
1,228,33,0
1,0,0,0
4,0,0,0
0,0,0,20
0,0,0,0
1,0,0,0
0,0,0,0
0,0,0,0
0,0,10,60
0,0,0,0
1,55,40,10
2,0,0,0
3,0,0,0
0,0,71,0
0,0,120,120
1,40,153,0
1,0,0,0
0,0,274,0
1,0,0,0
0,0,0,0
1,45,60,45
1,110,0,0
1,0,0,0
0,0,150,0
2,180,0,0
2,0,0,0
0,0,0,0
0,0,0,0
0,0,25,40
0,0,120,0
0,0,300,0
0,0,0,0
2,140,0,0
0,0,0,0
0,0,0,0
3,0,0,0
0,0,0,0
2,0,0,0
2,96,0,0
0,0,150,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,90
2,142,183,60
0,0,0,0
0,0,5,65
2,69,240,0
0,0,0,0
0,0,0,0
