,TUDIARYDAY,Socializing for leisure,Alone time for leisure
0,6,0,325
1,7,530,60
2,7,220,120
3,5,0,265
4,5,0,60
5,5,5,300
6,2,0,0
7,3,75,240
8,7,0,120
9,5,90,417
10,7,0,120
11,1,0,175
12,7,0,134
13,4,0,490
14,7,0,113
15,4,120,60
16,7,5,195
17,7,0,0
18,6,295,51
19,5,62,395
20,1,0,840
21,2,165,30
22,2,0,120
23,1,0,90
24,2,0,131
25,5,185,370
26,1,25,400
27,1,0,140
28,1,120,510
29,5,0,30
30,1,0,550
31,2,10,230
32,6,0,255
33,1,0,160
34,6,45,108
35,4,60,275
36,2,0,208
37,5,0,355
38,3,0,155
39,5,0,210
40,1,0,765
41,4,140,120
42,1,180,65
43,1,45,0
44,1,470,0
45,4,35,60
46,1,15,500
47,1,0,245
48,6,0,325
49,2,0,480
50,5,40,160
51,1,175,260
52,1,10,180
53,3,0,170
54,5,5,40
55,5,38,460
56,6,85,245
57,1,45,321
58,2,30,45
59,6,0,260
60,6,20,30
61,4,0,0
62,6,0,180
63,5,0,20
64,4,180,5
65,3,0,180
66,1,180,60
67,1,0,135
68,1,0,60
69,4,0,295
70,4,90,430
71,1,294,0
72,1,0,658
73,1,45,517
74,5,20,595
75,6,0,184
76,1,414,120
77,1,0,450
78,6,55,0
79,2,0,300
80,4,50,210
81,1,0,615
82,1,10,290
83,6,0,193
84,5,185,208
85,2,0,0
86,1,215,694
87,3,0,10
88,2,80,638
89,1,0,330
90,1,0,630
91,1,0,885
92,3,30,160
93,3,0,615
94,1,50,295
95,3,35,180
96,2,20,213
97,1,105,520
98,3,0,0
99,1,355,150
100,6,0,250
101,6,125,45
102,1,0,280
103,6,45,90
104,6,180,15
105,5,147,110
106,1,0,140
107,6,0,240
108,1,0,285
109,6,0,40
110,4,105,65
111,4,30,195
112,2,65,571
113,4,0,405
114,1,345,230
115,1,518,0
116,6,0,130
117,4,10,45
118,1,0,325
119,3,45,95
120,1,255,0
121,1,0,510
122,1,105,49
123,3,115,330
124,3,15,60
125,4,0,210
126,6,0,201
127,5,105,71
128,6,0,287
129,4,10,30
130,6,0,100
131,1,25,380
132,1,0,683
133,6,60,619
134,1,15,270
135,1,360,140
136,4,138,219
137,6,0,225
138,6,0,1195
139,4,0,225
140,1,30,140
141,2,0,275
142,1,0,685
143,5,0,405
144,4,0,295
145,1,0,375
146,6,10,103
147,2,0,120
148,1,73,105
149,6,0,412
150,4,0,0
151,1,0,0
152,1,0,700
153,2,0,575
154,1,150,418
155,5,120,819
156,6,0,152
157,2,0,235
158,1,15,125
159,1,131,259
160,6,0,520
161,5,40,0
162,6,30,0
163,3,205,263
164,3,0,170
165,2,0,506
166,1,30,210
167,6,0,140
168,4,40,150
169,3,120,259
170,3,0,480
171,2,0,30
172,1,0,500
173,3,0,940
174,6,45,95
175,4,0,140
176,4,0,150
177,2,0,120
178,3,0,515
179,1,0,390
180,1,0,20
181,6,0,180
182,2,113,0
183,1,0,90
184,4,90,50
185,3,0,570
186,5,0,180
187,3,0,600
188,5,0,325
189,5,0,630
190,2,0,100
191,6,0,340
192,1,225,35
193,4,0,354
194,3,50,240
195,6,25,410
196,4,0,35
197,1,0,150
198,3,0,0
199,6,0,450
200,1,0,0
201,4,45,141
202,6,0,100
203,3,20,110
204,1,0,261
205,5,47,292
206,1,0,360
207,4,0,270
208,6,0,305
209,2,0,360
210,1,0,800
211,5,0,80
212,4,0,135
213,4,0,470
214,3,0,160
215,2,0,120
216,1,252,140
217,5,0,85
218,6,40,190
219,1,0,435
220,3,0,116
221,5,30,150
222,6,20,60
223,4,30,114
224,5,225,0
225,1,0,330
226,2,60,8
227,6,0,300
228,2,10,280
229,2,0,179
230,3,0,180
231,3,272,570
232,7,60,80
233,1,0,390
234,4,80,176
235,3,0,255
236,4,40,205
237,7,0,723
238,1,30,210
239,7,0,117
240,7,0,90
241,6,0,165
242,5,0,255
243,2,65,0
244,3,0,0
245,4,0,450
246,7,0,520
247,1,390,165
248,6,0,175
249,1,0,175
250,7,55,220
251,7,450,60
252,7,0,250
253,4,0,578
254,6,120,195
255,5,60,600
256,3,50,270
257,7,10,181
258,1,1,185
259,7,0,180
260,7,480,200
261,4,0,60
262,6,0,180
263,2,0,90
264,1,260,220
265,3,10,218
266,3,0,60
267,2,0,160
268,4,0,25
269,7,0,150
270,6,0,135
271,6,0,143
272,2,135,0
273,3,0,230
274,5,0,195
275,2,0,120
276,5,27,105
277,1,0,270
278,2,0,165
279,7,0,330
280,1,0,515
281,3,315,60
282,7,390,180
283,7,0,0
284,1,0,325
285,7,0,105
286,7,380,0
287,3,220,596
288,1,0,138
289,3,0,360
290,2,0,165
291,1,0,313
292,7,360,492
293,3,0,180
294,1,0,545
295,3,0,330
296,5,0,195
297,3,0,340
298,7,0,353
299,3,30,110
300,3,0,300
301,6,0,80
302,4,0,270
303,7,60,30
304,1,0,100
305,1,120,710
306,5,0,495
307,1,0,480
308,1,0,259
309,3,0,139
310,6,0,45
311,4,0,195
312,3,0,120
313,2,26,171
314,1,0,420
315,3,0,145
316,2,0,0
317,6,0,418
318,2,0,120
319,7,0,360
320,2,300,184
321,1,0,169
322,4,0,140
323,3,145,0
324,2,0,120
325,1,0,195
326,4,0,390
327,1,40,270
328,5,0,0
329,3,0,193
330,2,0,225
331,7,455,150
332,7,0,0
333,5,0,315
334,7,0,145
335,4,0,609
336,7,210,60
337,3,80,225
338,1,306,340
339,1,140,180
340,6,25,195
341,1,280,120
342,5,75,280
343,3,0,120
344,3,0,315
345,1,570,0
346,2,0,90
347,4,30,0
348,6,70,155
349,7,0,170
350,7,0,250
351,7,30,270
352,5,0,0
353,6,0,105
354,5,0,40
355,1,0,270
356,3,0,180
357,5,140,60
358,4,0,250
359,1,0,317
360,2,0,580
361,7,180,230
362,6,0,595
363,7,0,620
364,3,0,70
365,3,0,0
366,7,0,20
367,1,0,60
368,3,15,195
369,4,0,210
370,2,0,150
371,6,0,123
372,4,50,383
373,1,0,450
374,3,0,60
375,1,0,370
376,1,200,209
377,4,0,600
378,3,0,140
379,3,0,140
380,3,0,335
381,2,20,105
382,6,0,40
383,7,0,80
384,3,0,155
385,1,0,405
386,6,0,245
387,5,145,210
388,2,0,105
389,3,0,120
390,3,0,150
391,7,340,105
392,6,0,150
393,3,35,128
394,2,0,153
395,6,0,125
396,5,25,110
397,3,0,90
398,4,0,314
399,4,150,65
400,2,90,60
401,6,0,565
402,3,0,395
403,1,0,475
404,5,150,90
405,2,45,60
406,7,120,245
407,2,125,475
408,7,150,90
409,7,490,0
410,4,15,20
411,3,0,115
412,5,55,0
413,2,0,90
414,7,0,384
415,2,0,165
416,1,0,395
417,3,10,0
418,2,20,161
419,7,30,50
420,6,0,40
421,4,50,0
422,3,0,155
423,7,240,255
424,4,0,300
425,1,0,0
426,4,0,735
427,6,0,210
428,1,0,435
429,6,0,660
430,3,0,15
431,1,0,135
432,3,50,170
433,1,0,450
434,4,20,168
435,5,5,150
436,7,135,111
437,7,230,145
438,3,0,240
439,4,0,0
440,7,75,405
441,1,0,60
442,6,0,390
443,3,60,105
444,5,120,530
445,2,90,60
446,6,0,0
447,7,0,90
448,3,30,60
449,3,0,555
450,3,0,180
451,1,0,650
452,3,0,0
453,3,75,120
454,3,90,165
455,7,120,270
456,1,0,0
457,7,0,0
458,2,0,220
459,1,0,190
460,1,60,340
461,7,90,300
462,1,0,255
463,1,180,0
464,7,150,450
465,3,0,28
466,7,0,60
467,2,0,45
468,3,230,0
469,7,0,345
470,2,0,335
471,4,0,122
472,7,0,0
473,7,0,120
474,6,90,434
475,1,105,0
476,7,0,155
477,6,105,0
478,7,0,280
479,1,45,60
480,1,127,179
481,7,445,0
482,4,75,20
483,7,355,30
484,3,0,90
485,3,0,120
486,2,0,217
487,6,60,220
488,1,0,120
489,7,0,435
490,7,0,420
491,7,0,165
492,5,0,0
493,3,0,60
494,5,0,75
495,4,0,15
496,2,0,30
497,6,10,125
498,1,120,852
499,3,30,720
500,4,0,310
501,5,20,0
502,2,0,240
503,3,200,270
504,4,0,180
505,1,60,120
506,2,105,195
507,7,190,150
508,7,190,425
509,5,0,100
510,6,0,473
511,5,90,35
512,1,0,105
513,6,190,132
514,1,0,595
515,5,60,235
516,7,120,120
517,7,187,190
518,3,0,330
519,6,0,640
520,3,0,355
521,2,4,428
522,5,130,330
523,3,0,30
524,1,60,60
525,7,60,345
526,7,45,70
527,1,0,718
528,7,260,0
529,3,105,85
530,5,190,360
531,5,0,137
532,5,0,180
533,5,0,0
534,7,0,140
535,5,0,340
536,4,15,20
537,7,0,600
538,5,60,825
539,1,85,149
540,6,0,0
541,4,0,577
542,4,0,0
543,3,0,50
544,5,0,320
545,6,0,305
546,1,0,705
547,7,0,150
548,5,0,690
549,2,0,260
550,2,0,405
551,3,45,120
552,1,90,480
553,7,0,510
554,2,0,651
555,5,25,411
556,2,0,301
557,4,0,315
558,1,0,595
559,7,0,480
560,6,162,30
561,7,330,555
562,1,145,700
563,7,0,260
564,5,0,150
565,4,0,135
566,3,420,395
567,1,0,90
568,2,0,355
569,1,0,60
570,7,130,195
571,1,20,740
572,7,0,620
573,1,150,180
574,4,28,100
575,1,90,330
576,7,195,120
577,1,239,445
578,1,0,255
579,1,20,210
580,1,30,910
581,5,0,270
582,1,30,0
583,6,86,211
584,7,0,105
585,7,0,240
586,6,45,405
587,4,3,549
588,3,397,120
589,5,0,60
590,4,0,90
591,5,0,120
592,4,0,0
593,1,0,240
594,4,0,570
595,1,0,120
596,7,120,308
597,2,25,15
598,5,60,490
599,4,0,660
600,7,0,0
601,7,30,432
602,1,0,240
603,7,180,135
604,7,120,84
605,7,0,180
606,5,54,75
607,1,0,120
608,4,90,538
609,4,0,180
610,1,0,25
611,6,90,120
612,3,0,60
613,2,0,435
614,2,0,90
615,7,0,150
616,6,150,265
617,7,0,270
618,3,0,0
619,7,180,115
620,6,0,140
621,3,0,240
622,2,0,0
623,7,0,220
624,2,0,525
625,2,0,605
626,6,20,334
627,2,0,98
628,1,118,240
629,7,0,330
630,7,0,320
631,7,0,195
632,3,0,250
633,4,0,255
634,6,25,135
635,3,45,270
636,7,285,28
637,6,0,45
638,4,0,85
639,7,0,220
640,6,250,70
641,4,0,220
642,2,15,60
643,5,45,105
644,3,385,160
645,7,320,315
646,7,0,65
647,7,120,645
648,1,0,160
649,4,0,90
650,7,0,240
651,1,0,205
652,2,60,120
653,1,0,260
654,3,125,110
655,7,0,105
656,4,45,285
657,2,0,150
658,7,120,210
659,4,185,200
660,1,40,170
661,7,60,510
662,2,168,60
663,3,0,440
664,4,70,604
665,7,350,120
666,1,60,255
667,7,0,0
668,3,120,891
669,2,80,95
670,6,0,385
671,2,0,60
672,5,0,300
673,1,0,576
674,7,270,100
675,4,0,165
676,1,0,320
677,7,169,244
678,3,0,30
679,7,20,0
680,3,20,230
681,2,0,70
682,1,110,285
683,2,0,225
684,2,190,130
685,3,0,0
686,1,10,192
687,3,0,395
688,1,120,190
689,1,0,150
690,1,180,240
691,7,0,300
692,1,0,255
693,6,0,220
694,6,0,0
695,3,10,451
696,4,210,255
697,7,0,575
698,2,0,0
699,4,0,70
700,7,0,145
701,1,180,120
702,7,155,91
703,5,0,138
704,4,0,0
705,5,0,150
706,7,0,478
707,6,0,270
708,1,0,120
709,7,180,360
710,2,60,72
711,1,0,46
712,7,0,420
713,3,22,265
714,1,0,180
715,7,30,490
716,7,15,445
717,7,0,215
718,7,0,0
719,1,0,0
720,5,15,90
721,1,94,20
722,7,120,630
723,2,0,90
724,2,0,80
725,6,0,285
726,7,0,140
727,1,0,615
728,7,0,345
729,7,0,70
730,6,40,0
731,5,0,0
732,1,120,420
733,3,15,135
734,2,0,0
735,3,103,40
736,7,0,210
737,7,0,330
738,1,180,440
739,7,20,716
740,3,30,73
741,7,80,105
742,6,0,105
743,1,155,110
744,5,0,227
745,6,60,285
746,5,0,105
747,7,0,140
748,2,30,390
749,4,0,216
750,3,0,735
751,3,1,218
752,1,0,365
753,7,842,0
754,7,120,0
755,6,0,120
756,7,0,540
757,7,0,840
758,3,0,30
759,6,165,30
760,5,0,215
761,1,15,75
762,7,0,245
763,7,120,310
764,4,0,165
765,7,0,0
766,3,70,80
767,2,25,375
768,1,0,465
769,7,0,820
770,1,0,480
771,6,0,300
772,1,0,195
773,1,20,90
774,7,0,825
775,7,0,0
776,2,5,230
777,5,0,430
778,3,0,810
779,7,0,0
780,1,0,670
781,4,115,545
782,4,0,345
783,2,0,180
784,3,0,847
785,7,0,975
786,7,0,427
787,4,0,0
788,7,5,200
789,7,0,0
790,3,0,150
791,6,0,270
792,1,0,390
793,1,47,273
794,6,0,225
795,6,80,15
796,1,0,750
797,4,60,90
798,7,0,355
799,3,0,180
800,3,0,0
801,4,280,15
802,4,0,0
803,1,0,240
804,3,0,180
805,5,86,106
806,5,0,232
807,1,0,158
808,1,0,120
809,3,0,80
810,2,0,180
811,1,30,80
812,1,0,225
813,6,0,0
814,4,0,435
815,3,0,405
816,2,0,225
817,6,65,90
818,7,480,173
819,1,0,300
820,7,200,335
821,4,0,440
822,3,70,0
823,2,0,194
824,4,232,495
825,5,5,360
826,3,50,25
827,4,0,630
828,3,140,75
829,2,160,135
830,1,0,289
831,7,165,90
832,1,0,353
833,7,0,320
834,5,0,420
835,7,0,510
836,5,30,150
837,7,0,495
838,7,416,279
839,6,0,305
840,4,0,180
841,1,0,360
842,3,0,67
843,3,30,275
844,6,40,70
845,3,0,890
846,4,90,300
847,7,26,140
848,7,0,140
849,1,0,405
850,6,0,280
851,6,45,103
852,7,245,0
853,7,0,915
854,6,0,0
855,5,35,95
856,1,68,75
857,7,0,310
858,2,0,15
859,6,0,0
860,1,0,270
861,4,0,540
862,3,0,181
863,3,0,330
864,7,0,278
865,7,180,70
866,2,105,20
867,4,90,90
868,7,10,140
869,2,0,205
870,4,120,170
871,1,140,200
872,2,0,75
873,7,0,180
874,7,0,825
875,5,0,130
876,4,15,65
877,6,0,344
878,2,0,600
879,3,0,565
880,3,0,165
881,1,0,350
882,1,0,640
883,3,15,228
884,2,90,375
885,6,15,200
886,4,20,60
887,3,0,150
888,1,240,120
889,1,0,490
890,2,0,625
891,7,0,355
892,6,0,255
893,4,45,525
894,4,0,0
895,7,0,800
896,2,0,365
897,3,10,30
898,7,0,210
899,2,0,200
900,1,0,290
901,7,0,405
902,7,0,100
903,1,0,300
904,2,0,807
905,7,0,360
