,TUYEAR,Working,Other income generating activities,Job search and Interviewing
0,2003,0,0,0
1,2003,0,0,0
2,2003,0,0,0
3,2003,0,0,120
4,2003,500,0,0
5,2003,0,0,0
6,2003,514,0,0
7,2003,495,0,0
8,2003,0,0,0
9,2003,266,0,0
10,2003,669,0,0
11,2003,0,0,0
12,2003,362,0,0
13,2003,0,0,0
14,2003,465,0,0
15,2003,45,0,0
16,2003,0,0,0
17,2003,65,0,0
18,2003,0,0,0
19,2003,0,0,0
20,2003,0,0,0
21,2003,0,0,0
22,2003,657,0,0
23,2003,0,0,0
24,2003,469,0,0
25,2003,0,0,0
26,2003,0,0,0
27,2003,0,0,0
28,2003,0,0,0
29,2003,540,0,0
30,2003,0,0,0
31,2003,410,0,0
32,2003,135,0,0
33,2003,0,0,0
34,2003,0,0,0
35,2003,0,0,0
36,2003,515,0,0
37,2003,260,0,0
38,2003,490,0,0
39,2003,90,0,0
40,2003,0,0,0
41,2003,480,0,0
42,2003,0,0,0
43,2003,0,0,0
44,2003,0,0,0
45,2003,0,0,0
46,2003,0,0,0
47,2003,0,0,0
48,2003,0,0,0
49,2003,0,0,0
50,2003,0,0,0
51,2003,0,0,0
52,2003,0,0,0
53,2003,465,0,0
54,2003,0,0,0
55,2003,0,0,0
56,2003,0,0,0
57,2003,0,0,0
58,2003,610,0,0
59,2003,0,0,0
60,2003,491,0,0
61,2003,0,0,0
62,2003,0,0,0
63,2003,840,0,0
64,2003,740,0,0
65,2003,605,0,0
66,2003,0,0,0
67,2003,0,0,0
68,2003,0,0,0
69,2003,190,0,0
70,2003,0,0,0
71,2003,0,0,0
72,2003,0,0,0
73,2003,0,0,0
74,2003,0,0,0
75,2003,575,0,0
76,2003,0,0,0
77,2003,0,0,0
78,2003,375,0,0
79,2003,0,0,0
80,2003,515,0,0
81,2003,0,0,0
82,2003,0,0,0
83,2003,465,0,0
84,2003,0,0,0
85,2003,590,0,0
86,2003,0,0,0
87,2003,285,0,0
88,2003,0,0,0
89,2003,0,0,0
90,2003,0,0,0
91,2003,0,0,0
92,2003,450,0,0
93,2003,0,0,0
94,2003,45,0,0
95,2003,592,0,0
96,2003,487,0,0
97,2003,0,0,0
98,2003,0,0,0
99,2003,0,0,0
100,2003,0,0,0
101,2003,458,0,0
102,2003,240,0,0
103,2003,384,0,0
104,2003,565,0,0
105,2003,0,0,0
106,2003,0,0,0
107,2003,0,0,0
108,2003,0,0,0
109,2003,0,0,0
110,2003,0,0,0
111,2003,405,0,0
112,2003,0,0,0
113,2003,0,0,0
114,2003,0,0,0
115,2003,0,0,0
116,2003,413,0,0
117,2003,525,0,0
118,2003,0,0,0
119,2003,0,0,0
120,2003,0,0,0
121,2003,0,0,0
122,2003,150,0,0
123,2003,0,0,0
124,2003,362,0,0
125,2003,440,0,0
126,2003,740,0,0
127,2003,345,0,0
128,2003,460,0,0
129,2003,250,0,0
130,2003,0,0,0
131,2003,0,0,0
132,2003,0,0,0
133,2003,0,0,0
134,2003,0,0,0
135,2003,0,0,0
136,2003,170,0,0
137,2003,509,0,0
138,2003,0,0,0
139,2003,465,0,0
140,2003,30,0,0
141,2003,0,0,0
142,2003,0,0,0
143,2003,0,0,0
144,2003,320,0,0
145,2003,0,0,0
146,2003,0,0,0
147,2003,0,0,0
148,2003,0,0,0
149,2003,503,0,0
150,2003,0,0,0
151,2003,0,0,0
152,2003,0,0,0
153,2003,480,0,0
154,2003,0,0,0
155,2003,0,0,0
156,2003,380,0,0
157,2003,460,0,0
158,2003,438,0,0
159,2003,0,0,0
160,2003,0,0,0
161,2003,290,0,0
162,2003,1000,0,0
163,2003,0,0,0
164,2003,120,0,0
165,2003,175,0,0
166,2003,0,0,0
167,2003,474,0,0
168,2003,345,0,0
169,2003,0,0,0
170,2003,0,0,0
171,2003,565,0,0
172,2003,0,0,0
173,2003,0,0,0
174,2003,410,0,0
175,2003,525,0,0
176,2003,0,0,0
177,2003,450,0,0
178,2003,0,0,0
